Region,Año,Mes,precipitacion,evaporacion,temperaturaMax,temperaturaMin
Region 1,2000,1,0,169.075,23.8705,3.508
Region 1,2001,1,0,126.65,24.451,5.4112
Region 1,2002,1,34,147.56,22.411,3.9919
Region 1,2003,1,2.1,122.3,23.564,5.4919
Region 1,2004,1,35.05,98.6,21.048,5.6935
Region 1,2005,1,0,135.83,20.2175,5.04025
Region 1,2006,1,3.1,137.075,24.258,5.51605
Region 1,2007,1,23.7,106.85,19.5235,5.2177
Region 1,2008,1,0,149.555,20.8785,2.21785
Region 1,2009,1,0,148.645,23.3675,2.13755
Region 1,2010,1,43.1,118.835,21.6205,1.14545
Region 1,2011,1,0,147.71,18.6285,0.92755
Region 1,2012,1,11.55,174.71,17.914,2.4446
Region 1,2013,1,58.5,123.94,19.661,6.6451
Region 1,2014,1,5.15,120.35,21.056,5.0564
Region 1,2015,1,1,127.82,23.1085,7.62275
Region 1,2016,1,0.1,123.605,22.3785,3.879
Region 1,2017,1,0,134.36,24.822,5.58865
Region 1,2018,1,24.65,123.63,24.023,5.14135
Region 1,2019,1,8.8,99.385,25.1455,6.14545
Region 1,2020,1,32.3,159.59,24.282,6.36285
Region 1,2021,1,5.6,107.605,25.5635,5.86875
Region 1,2000,2,0,183.08,25.8965,6.4827
Region 1,2001,2,5.5,154.2,24.928,6.116
Region 1,2002,2,20.45,146.71,22.732,5.8214
Region 1,2003,2,1,178.515,24.946,6.36605
Region 1,2004,2,1,177.275,24.646,5.83615
Region 1,2005,2,46.85,136.485,20.142,7.46405
Region 1,2006,2,6.05,171.365,24.7585,7.3571
Region 1,2007,2,20.2,149.48,23.321,3.22335
Region 1,2008,2,11.45,186.015,23.3615,3.48275
Region 1,2009,2,0,183.73,24.2855,2.9199
Region 1,2010,2,101.35,124.945,21.178,2.4915
Region 1,2011,2,0,169.97,21.1155,3.27675
Region 1,2012,2,46.15,130.055,20.6435,7.7201
Region 1,2013,2,0,170.68,25.2315,5.99105
Region 1,2014,2,0,154.49,25.723,8.116
Region 1,2015,2,26.6,150.19,23.875,9.0535
Region 1,2016,2,10.45,164.89,26.043,4.8103
Region 1,2017,2,0.9,155.705,26.0445,6.6517
Region 1,2018,2,30.2,133.185,26.998,9.524
Region 1,2019,2,10.36666667,135.25,27.1995,8.57735
Region 1,2020,2,10.36666667,153.02,27.1995,7.8533375
Region 1,2021,2,0,187.94,28.556,6.6603
Region 1,2000,3,0,238.76,28.6205,9.76575
Region 1,2001,3,20.65,230.905,27.443,9.64515
Region 1,2002,3,0,256.21,26.0965,10.798
Region 1,2003,3,0,259.95,26.5075,6.4112
Region 1,2004,3,31,214.69,24.6525,8.4918
Region 1,2005,3,8.8,242.45,23.161,7.3709
Region 1,2006,3,0.1,246.74,24.9835,9.43535
Region 1,2007,3,0,215.835,23.927,6.33045
Region 1,2008,3,0,246.36,25.2255,4.91125
Region 1,2009,3,0,236.15,24.9675,7.07255
Region 1,2010,3,0,230.74,26.29,4.1693
Region 1,2011,3,0,246.205,23.532,5.88705
Region 1,2012,3,0,296.56,26.228,9.8305
Region 1,2013,3,1.1,212.2,25.7575,6.36285
Region 1,2014,3,1.6,213.075,27.2655,9.45125
Region 1,2015,3,101.4,160.8,24.2625,9.4775
Region 1,2016,3,11.2,197.295,25.838,8.49995
Region 1,2017,3,3,212.585,27.8705,9.8383
Region 1,2018,3,0,200.53,31.5655,10.736
Region 1,2019,3,0,210.21,31.2135,10.8415
Region 1,2020,3,1.95,241.565,32.129,12.6285
Region 1,2021,3,0,243.8,31.5195,10.13565
Region 1,2000,4,0.1,281.62,31.0165,12.6245
Region 1,2001,4,31.4,251.12,30.5745,14.4415
Region 1,2002,4,5.3,256.43,29.9995,13.908
Region 1,2003,4,0.05,276.77,27.883,9.95
Region 1,2004,4,0,278,29.8915,8.29965
Region 1,2005,4,0.05,307.29,26.6665,9.13315
Region 1,2006,4,0.2,284.045,29.033,10.7913
Region 1,2007,4,0.05,255.76,25.666,8.5333
Region 1,2008,4,8.3,280.815,30.9915,10.866
Region 1,2009,4,20.05,280.345,27.0745,11.041
Region 1,2010,4,1.4,257.44,28.7415,7.2083
Region 1,2011,4,0,285.93,26.458,8.9748
Region 1,2012,4,0,307.81,29.1405,11.575
Region 1,2013,4,0,256.33,30.0165,11.4415
Region 1,2014,4,0,228.69,30.141,11.925
Region 1,2015,4,8.55,188.285,29.0985,13.382
Region 1,2016,4,4.05,238.11,29.958,12.3665
Region 1,2017,4,11.65,258.06,30.041,10.69965
Region 1,2018,4,2.25,238.405,32.125,13.1405
Region 1,2019,4,0,266.6,32.818,11.525
Region 1,2020,4,2.05,254.665,33.4895,13.938
Region 1,2021,4,2.75,294.56,31.3495,13.4245
Region 1,2000,5,63.05,275.53,32.3305,15.3545
Region 1,2001,5,23.8,247.77,31.5475,15.443
Region 1,2002,5,35.5,265.58,30.596,14.911
Region 1,2003,5,6.2,309.35,29.9835,11.6692
Region 1,2004,5,41.95,254.275,31.9515,10.9352
Region 1,2005,5,7.3,307.49,26.7495,9.96725
Region 1,2006,5,56.25,281.4,28.0805,11.09665
Region 1,2007,5,7.8,283.055,30.153,15.806
Region 1,2008,5,4.55,284.805,31.596,13.2015
Region 1,2009,5,9.25,283.045,30.3785,14.354
Region 1,2010,5,5.9,272.3,30.895,15.3625
Region 1,2011,5,0,322.44,28.1205,11.2336
Region 1,2012,5,5.15,355.15,31.272,14.904
Region 1,2013,5,16.9,258.07,31.556,14.346
Region 1,2014,5,67.15,212.47,29.129,14.2655
Region 1,2015,5,15.15,233.295,31.895,14.419
Region 1,2016,5,20.5,280.68,33.298,14.403
Region 1,2017,5,0.95,288.415,33.2495,14.451
Region 1,2018,5,52.9,230.58,33.268,15.4765
Region 1,2019,5,2,290.82,32.903,15.596
Region 1,2020,5,17.7,273.295,32.871,13.88
Region 1,2021,5,6.3,290.415,31.3625,15.048
Region 1,2000,6,110.65,191.05,29.608,15.9995
Region 1,2001,6,104.95,212.345,30.1745,16.333
Region 1,2002,6,65.35,222.17,30.0665,15.7245
Region 1,2003,6,112.3,198.735,31.9665,16.75
Region 1,2004,6,283.75,180.76,24.0415,11.0333
Region 1,2005,6,17.7,309.19,30.9745,17.25
Region 1,2006,6,47.45,238.92,28.633,11.6833
Region 1,2007,6,250.65,238.305,30.0995,16.825
Region 1,2008,6,76.5,225.5,31.3165,16.258
Region 1,2009,6,59.35,234.355,30.041,17.1
Region 1,2010,6,49.65,264.8,29.8165,16.308
Region 1,2011,6,74.3,285.5,26.1495,11.6965
Region 1,2012,6,83.4,289.35,30.6525,15.436
Region 1,2013,6,118.5,252.625,30.475,15.7995
Region 1,2014,6,118.35,201.53,28.558,15.8745
Region 1,2015,6,213.25,186.295,30.2305,14.9325
Region 1,2016,6,99.55,235.02,30.458,14.3995
Region 1,2017,6,36.3,269.41,32,15.9665
Region 1,2018,6,197.55,180.89,30.528,15.6875
Region 1,2019,6,113.4375,203.35,30.70825,17.865
Region 1,2020,6,118,250.29,32.23,15.981
Region 1,2021,6,101.9,192.62,28.075,15.3665
Region 1,2000,7,66.85,222.265,30.145,14.782
Region 1,2001,7,119.35,203.33,29.798,16.2415
Region 1,2002,7,170.1,171.805,25.209,14.9105
Region 1,2003,7,201.25,158.775,28.806,16.04
Region 1,2004,7,128.25,216.25,24.177,10.66105
Region 1,2005,7,129,210.875,29.9915,16.064
Region 1,2006,7,139.55,189.91,28.79,15.6125
Region 1,2007,7,160.8,149.465,28.6685,15.4915
Region 1,2008,7,190.5,161.725,28.6685,14.7575
Region 1,2009,7,43.2,230.01,24.177,15.3545
Region 1,2010,7,170.65,210,22.0665,11.20635
Region 1,2011,7,21.05,207.94,23.6915,11.3415
Region 1,2012,7,139,183.57,27.001,14.1635
Region 1,2013,7,204.45,192.35,26.3865,14.524
Region 1,2014,7,95.15,166.695,27.6285,15.2335
Region 1,2015,7,266.1,194.45,29.7565,14.385
Region 1,2016,7,252.05,214.76,29.3385,13.298
Region 1,2017,7,126.3,185.225,28.3545,14.3545
Region 1,2018,7,52.15,197.325,30.2195,14.5595
Region 1,2019,7,141.65,163.105,30.7405,15.1395
Region 1,2020,7,130.5,203.61,31.448,15.601
Region 1,2021,7,182.35,184.26,26.524,15.2415
Region 1,2000,8,66.4,195.475,28.798,14.7895
Region 1,2001,8,112.25,184.515,29.677,16.4025
Region 1,2002,8,93.45,207.54,25.572,15.056
Region 1,2003,8,109.95,170.345,28.3385,15.064
Region 1,2004,8,103.35,198.545,24.04,10.9593
Region 1,2005,8,194.85,175.19,28.3785,15.8545
Region 1,2006,8,129.45,161.91,28.685,14.1205
Region 1,2007,8,39.15,172.81,29.29,15.209
Region 1,2008,8,292.7,164.28,28.46,14.4
Region 1,2009,8,136.5,228.765,29.4915,15.7015
Region 1,2010,8,77.55,202.67,24.1445,11.20965
Region 1,2011,8,89.75,189.035,24.298,10.9755
